Timestamp,Target,PacketSize,Hop,Host,Loss%,Snt,Last,Avg,Best,Wrst,StDev
2023-05-03 21:14:32.044651,52.253.119.179,256,3.|--,45.71.39.254,0.0%,10,2.6,2.1,1.6,2.6,0.3
2023-05-03 21:14:32.044651,52.253.119.179,256,4.|--,172.16.201.180,0.0%,10,3.5,3.9,3.3,6.4,0.9
2023-05-03 21:14:32.044651,52.253.119.179,256,5.|--,172.18.9.4,0.0%,10,3.2,3.9,3.2,4.5,0.4
2023-05-03 21:14:32.044651,52.253.119.179,256,6.|--,172.18.9.6,0.0%,10,4.0,3.7,3.3,4.2,0.3
2023-05-03 21:14:32.044651,52.253.119.179,256,7.|--,67.73.160.1,0.0%,10,3.1,3.9,3.0,6.1,0.9
2023-05-03 21:14:32.044651,52.253.119.179,256,8.|--,4.69.219.142,0.0%,10,73.7,75.8,72.5,91.4,5.7
2023-05-03 21:14:32.044651,52.253.119.179,256,9.|--,4.68.62.2,0.0%,10,63.7,63.4,62.7,63.7,0.4
2023-05-03 21:14:32.044651,52.253.119.179,256,10.|--,104.44.230.39,0.0%,10,62.9,64.8,62.6,77.8,4.6
2023-05-03 21:14:32.044651,52.253.119.179,256,11.|--,104.44.33.169,0.0%,10,215.1,215.1,214.3,216.0,0.4
2023-05-03 21:14:32.044651,52.253.119.179,256,12.|--,104.44.28.74,0.0%,10,214.8,259.7,214.4,341.2,51.8
2023-05-03 21:14:32.044651,52.253.119.179,256,13.|--,104.44.17.73,0.0%,10,212.4,239.0,212.4,284.8,27.5
2023-05-03 21:14:32.044651,52.253.119.179,256,14.|--,104.44.18.172,0.0%,10,214.3,214.2,213.9,214.5,0.2
2023-05-03 21:14:32.044651,52.253.119.179,256,15.|--,104.44.16.86,0.0%,10,214.2,215.2,214.2,217.1,1.0
2023-05-03 21:14:32.044651,52.253.119.179,256,16.|--,104.44.7.21,0.0%,10,213.5,213.4,212.8,214.1,0.4
2023-05-03 21:14:32.044651,52.253.119.179,256,17.|--,104.44.20.28,0.0%,10,212.7,214.4,212.7,220.6,2.8
2023-05-03 21:14:32.044651,52.253.119.179,256,18.|--,???,100.0,10,0.0,0.0,0.0,0.0,0.0

2023-05-03 21:14:32.044651,52.253.119.179,512,HOST:,endeavour,Loss%,Snt,Last,Avg,Best,Wrst,StDev
2023-05-03 21:14:32.044651,52.253.119.179,512,1.|--,192.168.0.1,0.0%,10,1.5,1.3,1.1,1.5,0.1
2023-05-03 21:14:32.044651,52.253.119.179,512,2.|--,10.248.0.2,0.0%,10,1.9,2.2,1.8,2.6,0.3
2023-05-03 21:14:32.044651,52.253.119.179,512,3.|--,45.71.39.254,0.0%,10,2.7,2.3,1.8,2.7,0.3
2023-05-03 21:14:32.044651,52.253.119.179,512,4.|--,172.16.201.180,0.0%,10,3.9,4.6,3.2,13.7,3.2
2023-05-03 21:14:32.044651,52.253.119.179,512,5.|--,172.18.9.4,0.0%,10,3.4,3.9,3.4,4.6,0.4
2023-05-03 21:14:32.044651,52.253.119.179,512,6.|--,172.18.9.6,0.0%,10,4.3,4.1,3.5,4.6,0.3
2023-05-03 21:14:32.044651,52.253.119.179,512,7.|--,67.73.160.1,0.0%,10,3.1,3.7,3.0,5.0,0.6
2023-05-03 21:14:32.044651,52.253.119.179,512,8.|--,4.69.219.142,10.0%,10,73.5,77.8,72.3,96.6,9.4
2023-05-03 21:14:32.044651,52.253.119.179,512,9.|--,4.68.62.2,0.0%,10,75.9,65.2,63.1,75.9,4.1
2023-05-03 21:14:32.044651,52.253.119.179,512,10.|--,104.44.230.39,0.0%,10,63.7,65.3,63.1,77.9,4.6
2023-05-03 21:14:32.044651,52.253.119.179,512,11.|--,104.44.33.169,0.0%,10,214.9,214.9,214.3,215.6,0.3
2023-05-03 21:14:32.044651,52.253.119.179,512,12.|--,104.44.28.74,0.0%,10,215.4,216.4,214.5,224.5,3.2
2023-05-03 21:14:32.044651,52.253.119.179,512,13.|--,104.44.17.73,0.0%,10,342.1,257.6,212.7,342.1,48.3
2023-05-03 21:14:32.044651,52.253.119.179,512,14.|--,104.44.18.172,0.0%,10,214.8,214.5,214.0,215.2,0.4
2023-05-03 21:14:32.044651,52.253.119.179,512,15.|--,104.44.16.86,0.0%,10,214.9,214.6,214.3,214.9,0.2
2023-05-03 21:14:32.044651,52.253.119.179,512,16.|--,104.44.7.21,0.0%,10,213.8,213.5,213.1,214.4,0.3
2023-05-03 21:14:32.044651,52.253.119.179,512,17.|--,104.44.20.28,0.0%,10,219.3,214.6,212.5,219.3,2.2
2023-05-03 21:14:32.044651,52.253.119.179,512,18.|--,???,100.0,10,0.0,0.0,0.0,0.0,0.0

2023-05-03 21:14:32.044651,52.253.119.179,1024,HOST:,endeavour,Loss%,Snt,Last,Avg,Best,Wrst,StDev
2023-05-03 21:14:32.044651,52.253.119.179,1024,1.|--,192.168.0.1,0.0%,10,1.4,1.3,1.1,1.4,0.1
2023-05-03 21:14:32.044651,52.253.119.179,1024,2.|--,10.248.0.2,0.0%,10,1.9,2.4,1.9,2.8,0.3
2023-05-03 21:14:32.044651,52.253.119.179,1024,3.|--,45.71.39.254,0.0%,10,2.5,2.4,2.0,2.8,0.3
2023-05-03 21:14:32.044651,52.253.119.179,1024,4.|--,172.16.201.180,0.0%,10,3.3,4.6,3.0,14.0,3.3
2023-05-03 21:14:32.044651,52.253.119.179,1024,5.|--,172.18.9.4,0.0%,10,3.9,4.0,3.3,4.7,0.4
2023-05-03 21:14:32.044651,52.253.119.179,1024,6.|--,172.18.9.6,0.0%,10,3.8,4.2,3.6,6.3,0.8
2023-05-03 21:14:32.044651,52.253.119.179,1024,7.|--,67.73.160.1,0.0%,10,17.4,6.3,3.2,17.4,4.9
2023-05-03 21:14:32.044651,52.253.119.179,1024,8.|--,4.69.219.142,10.0%,10,73.0,74.0,72.4,76.3,1.4
2023-05-03 21:14:32.044651,52.253.119.179,1024,9.|--,4.68.62.2,0.0%,10,63.3,63.3,62.9,63.6,0.2
2023-05-03 21:14:32.044651,52.253.119.179,1024,10.|--,104.44.230.39,0.0%,10,63.2,63.8,62.8,65.8,1.1
2023-05-03 21:14:32.044651,52.253.119.179,1024,11.|--,104.44.33.169,0.0%,10,215.0,215.1,214.3,216.0,0.5
2023-05-03 21:14:32.044651,52.253.119.179,1024,12.|--,104.44.28.74,0.0%,10,214.9,216.0,214.7,220.8,1.9
2023-05-03 21:14:32.044651,52.253.119.179,1024,13.|--,104.44.17.73,0.0%,10,213.3,213.5,212.7,214.9,0.6
2023-05-03 21:14:32.044651,52.253.119.179,1024,14.|--,104.44.18.172,0.0%,10,224.8,216.6,213.9,224.8,3.8
2023-05-03 21:14:32.044651,52.253.119.179,1024,15.|--,104.44.16.86,0.0%,10,215.0,214.9,214.3,215.2,0.3
2023-05-03 21:14:32.044651,52.253.119.179,1024,16.|--,104.44.7.21,0.0%,10,213.0,213.5,212.9,214.4,0.4
